cell,kind,name,metric,stratum,n,median,mean,p25,p75
bce_inpaint_s0,generator,sdxl-epic-realism,auroc,all,5185,0.9848951351351352,0.9848951351351352,nan,nan
bce_inpaint_s0,generator,sdxl-juggernaut,pred_pos_frac,all,185,0.66972,0.6288772540540539,0.398234,0.914778
bce_inpaint_s0,generator,sdxl-juggernaut,auroc,all,5185,0.9906,0.9906,nan,nan
bce_inpaint_s0,generator,sdxl-realvis-v5,pred_pos_frac,all,185,0.331904,0.39571059459459457,0.066428,0.689869
bce_inpaint_s0,generator,sdxl-realvis-v5,auroc,all,5185,0.9664410810810811,0.9664410810810811,nan,nan
bce_inpaint_s0,generator,sdxl-touchofrealism,pred_pos_frac,all,185,0.871119,0.7603884162162161,0.595743,0.992412
bce_inpaint_s0,generator,sdxl-touchofrealism,auroc,all,5185,0.9964194594594594,0.9964194594594594,nan,nan
bce_splice_s0,reals,real,pred_pos_frac,all,5000,0.0,0.0272617476,0.0,0.0
bce_splice_s0,overall,all_generators,auroc,all,8932,0.4372071464903357,0.4372071464903357,nan,nan
bce_splice_s0,generator,chroma,pred_pos_frac,all,39,0.0,0.07007189743589744,0.0,0.0592195
bce_splice_s0,generator,chroma,auroc,all,5039,0.6828205128205128,0.6828205128205128,nan,nan
bce_splice_s0,generator,dalle-3,pred_pos_frac,all,185,0.0,0.005536848648648648,0.0,0.0
bce_splice_s0,generator,dalle-3,auroc,all,5185,0.33466108108108106,0.33466108108108106,nan,nan
bce_splice_s0,generator,flux-1.1-pro,pred_pos_frac,all,185,0.0,0.016042502702702705,0.0,0.0
bce_splice_s0,generator,flux-1.1-pro,auroc,all,5185,0.33539675675675673,0.33539675675675673,nan,nan
bce_splice_s0,generator,flux-amateursnapshotphotos,pred_pos_frac,all,26,0.0,0.015290384615384615,0.0,0.0
bce_splice_s0,generator,flux-amateursnapshotphotos,auroc,all,5026,0.38328076923076926,0.38328076923076926,nan,nan
bce_splice_s0,generator,flux-mvc5000,pred_pos_frac,all,147,0.0,0.01516959863945578,0.0,0.0
bce_splice_s0,generator,flux-mvc5000,auroc,all,5147,0.3088136054421769,0.3088136054421769,nan,nan
bce_splice_s0,generator,flux-realism,pred_pos_frac,all,4,0.0,0.0,0.0,0.0
bce_splice_s0,generator,flux-realism,auroc,all,5004,0.334825,0.334825,nan,nan
bce_splice_s0,generator,flux.1-dev,pred_pos_frac,all,185,0.0,0.018417864864864866,0.0,0.0
bce_splice_s0,generator,flux.1-dev,auroc,all,5185,0.3530405405405405,0.3530405405405405,nan,nan
bce_splice_s0,generator,flux.1-schnell,pred_pos_frac,all,185,0.0,0.027324383783783785,0.0,0.0
bce_splice_s0,generator,flux.1-schnell,auroc,all,5185,0.43983783783783786,0.43983783783783786,nan,nan
bce_splice_s0,generator,gpt-image-1,pred_pos_frac,all,185,0.0,0.00683438918918919,0.0,0.0
bce_splice_s0,generator,gpt-image-1,auroc,all,5185,0.4098437837837838,0.4098437837837838,nan,nan
bce_splice_s0,generator,grok-2-image-1212,pred_pos_frac,all,96,0.0,0.004080958333333333,0.0,0.0
bce_splice_s0,generator,grok-2-image-1212,auroc,all,5096,0.13978333333333334,0.13978333333333334,nan,nan
bce_splice_s0,generator,hidream-i1-full,pred_pos_frac,all,185,0.0,0.05380350270270271,0.0,0.006304
bce_splice_s0,generator,hidream-i1-full,auroc,all,5185,0.6301454054054054,0.6301454054054054,nan,nan
bce_splice_s0,generator,ideogram-3.0,pred_pos_frac,all,185,0.0,0.029831908108108107,0.0,0.0
bce_splice_s0,generator,ideogram-3.0,auroc,all,5185,0.34514432432432435,0.34514432432432435,nan,nan
bce_splice_s0,generator,imagen-3.0-002,pred_pos_frac,all,34,0.0,0.004725029411764706,0.0,0.0
bce_splice_s0,generator,imagen-3.0-002,auroc,all,5034,0.3130264705882353,0.3130264705882353,nan,nan
