cell,kind,name,metric,stratum,n,median,mean,p25,p75
bce_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
bce_splice_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|fr_bg,auc,all,6,0.6989247311827957,0.6989247311827957,nan,nan
bce_splice_s0,contrast,ai_boundary|sp_boundary,auc,all,6,0.0,0.0,nan,nan
bce_splice_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.9,0.9,nan,nan
bce_splice_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
bce_splice_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,0.8333333333333334,0.18143250000000002,0.19528766666666666,0.013855166666666667
bce_both_s0,condition,ai_boundary,f1,all,40,0.883948,0.8593695,0.8466907499999999,0.949077
bce_both_s0,condition,ai_boundary,iou,all,40,0.7920400000000001,0.7752901999999999,0.7342022500000001,0.90320175
bce_both_s0,condition,ai_boundary,image_score,all,40,0.9991425,0.99877415,0.9987465,0.9992894999999999
bce_both_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_both_s0,condition,ai_interior,f1,all,6,1.0,0.9998916666666666,1.0,1.0
bce_both_s0,condition,ai_interior,iou,all,6,1.0,0.9997835,1.0,1.0
bce_both_s0,condition,ai_interior,image_score,all,6,0.9955435,0.9666151666666667,0.9629927500000001,0.99688375
bce_both_s0,condition,ai_interior,pred_pos_frac,all,6,1.0,0.9997835,1.0,1.0
bce_both_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
bce_both_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
bce_both_s0,condition,fr_bg,image_score,all,31,0.014392,0.20421638709677417,0.011711,0.0709885
bce_both_s0,condition,fr_bg,pred_pos_frac,all,31,0.0,0.0549291935483871,0.0,0.0
bce_both_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
bce_both_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
bce_both_s0,condition,real_crop,image_score,all,6,0.01378,0.013779666666666664,0.01266575,0.014976
bce_both_s0,condition,real_crop,pred_pos_frac,all,6,0.0,0.0,0.0,0.0
bce_both_s0,condition,sp_boundary,f1,all,6,0.8601715000000001,0.8949518333333334,0.85535775,0.9537635
bce_both_s0,condition,sp_boundary,iou,all,6,0.754678,0.8161250000000001,0.7472712499999999,0.9159915000000001
bce_both_s0,condition,sp_boundary,image_score,all,6,0.998203,0.9981808333333334,0.9978165,0.99849725
bce_both_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_both_s0,contrast,ai_interior|real_crop,auc,all,6,1.0,1.0,nan,nan
bce_both_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,1.0,1.0,nan,nan
bce_both_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
bce_both_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
bce_both_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
bce_both_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
bce_both_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
bce_both_s0,contrast,ai_interior|fr_bg,auc,all,6,0.9408602150537635,0.9408602150537635,nan,nan
bce_both_s0,contrast,ai_boundary|sp_boundary,auc,all,6,0.8645833333333334,0.8645833333333334,nan,nan
bce_both_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.9583333333333334,0.9583333333333334,nan,nan
bce_both_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
bce_both_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,1.0,0.9528355,0.9666151666666667,0.013779666666666667
cont_inpaint_s0,condition,ai_boundary,f1,all,40,0.9703515,0.9248732000000001,0.9200982499999999,0.9844692500000001
cont_inpaint_s0,condition,ai_boundary,iou,all,40,0.9424105,0.8759502999999998,0.852081,0.96941375
cont_inpaint_s0,condition,ai_boundary,image_score,all,40,0.9990870000000001,0.9988954999999999,0.998722,0.9992885
cont_inpaint_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_inpaint_s0,condition,ai_interior,f1,all,6,0.514909,0.5753461666666667,0.45943625,0.7153485
cont_inpaint_s0,condition,ai_interior,iou,all,6,0.3468655,0.43055683333333333,0.298523,0.5667195
cont_inpaint_s0,condition,ai_interior,image_score,all,6,0.992734,0.9630690000000001,0.9727157500000001,0.99548725
cont_inpaint_s0,condition,ai_interior,pred_pos_frac,all,6,0.3468655,0.43055683333333333,0.298523,0.5667195
cont_inpaint_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
cont_inpaint_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
cont_inpaint_s0,condition,fr_bg,image_score,all,31,0.002252,0.28449519354838715,0.000995,0.87354
cont_inpaint_s0,condition,fr_bg,pred_pos_frac,all,31,0.354592,0.38092493548387096,0.23533150000000003,0.49107150000000005
cont_inpaint_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
cont_inpaint_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
cont_inpaint_s0,condition,real_crop,image_score,all,6,0.0006525,0.0009203333333333333,0.0006285,0.0012457500000000001
cont_inpaint_s0,condition,real_crop,pred_pos_frac,all,6,0.5484694999999999,0.5276360000000001,0.40816325,0.6705995
cont_inpaint_s0,condition,sp_boundary,f1,all,6,0.8610785000000001,0.8966595,0.855902,0.95466275
cont_inpaint_s0,condition,sp_boundary,iou,all,6,0.7560685,0.8189776666666665,0.7481019999999999,0.9176979999999999
cont_inpaint_s0,condition,sp_boundary,image_score,all,6,0.9273435,0.783078,0.59789725,0.95334425
cont_inpaint_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_inpaint_s0,contrast,ai_interior|real_crop,auc,all,6,1.0,1.0,nan,nan
cont_inpaint_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,1.0,1.0,nan,nan
cont_inpaint_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
cont_inpaint_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
cont_inpaint_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
cont_inpaint_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
cont_inpaint_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
cont_inpaint_s0,contrast,ai_interior|fr_bg,auc,all,6,0.8602150537634409,0.8602150537634409,nan,nan
cont_inpaint_s0,contrast,ai_boundary|sp_boundary,auc,all,6,1.0,1.0,nan,nan
cont_inpaint_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.9791666666666666,0.9791666666666666,nan,nan
cont_inpaint_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
cont_inpaint_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,1.0,0.9621486666666668,0.963069,0.0009203333333333333
cont_splice_s0,condition,ai_boundary,f1,all,40,0.6692865,0.5886309000000001,0.29025325,0.93179425
cont_splice_s0,condition,ai_boundary,iou,all,40,0.507107,0.5102305749999999,0.1741935,0.872412
cont_splice_s0,condition,ai_boundary,image_score,all,40,0.9108995,0.666912375,0.3119715,0.98602
cont_splice_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_splice_s0,condition,ai_interior,f1,all,6,0.7602115,0.7260893333333334,0.7224149999999999,0.8001935
cont_splice_s0,condition,ai_interior,iou,all,6,0.613505,0.5810083333333332,0.5655855,0.667126
cont_splice_s0,condition,ai_interior,image_score,all,6,0.152026,0.35223766666666667,0.070784,0.6244492500000001
cont_splice_s0,condition,ai_interior,pred_pos_frac,all,6,0.613505,0.5810083333333332,0.5655855,0.667126
cont_splice_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
cont_splice_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
cont_splice_s0,condition,fr_bg,image_score,all,31,0.016593,0.020365096774193545,0.0113545,0.02679
cont_splice_s0,condition,fr_bg,pred_pos_frac,all,31,0.37372399999999995,0.40013987096774195,0.33290800000000004,0.4483415
cont_splice_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
cont_splice_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
