item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,kmeans,,0,0.277099,0.160833,0.999440,0.160847,0.682434,0.995372,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,kmeans,,0,0.006265,0.003143,0.035841,0.003433,0.607941,0.968201,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,kmeans,,0,0.929659,0.868563,0.991811,0.874836,0.953633,0.969498,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,kmeans,,0,0.924581,0.859740,0.987248,0.869394,0.911888,0.739046,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,kmeans,,0,0.762278,0.615872,1.000000,0.615872,0.830795,0.308815,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,kmeans,,0,0.709581,0.549884,0.982165,0.555431,0.839737,0.995601,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,kmeans,,0,0.705778,0.545330,0.766388,0.654053,0.770021,0.015845,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,kmeans,,0,0.940833,0.888276,0.976430,0.907740,0.945622,0.998225,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,kmeans,,0,0.662101,0.494881,0.950651,0.507930,0.809141,0.935700,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,kmeans,,0,0.107026,0.056538,0.135714,0.088349,0.332046,0.903805,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,kmeans,,0,0.603411,0.432061,0.966163,0.438699,0.661530,0.994020,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,kmeans,,0,0.773667,0.630878,0.993236,0.633600,0.857101,0.279927,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,kmeans,,0,0.215105,0.120514,0.186737,0.253636,0.120514,0.029424,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,kmeans,,0,0.788199,0.650436,0.778000,0.798668,0.735458,0.371821,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,kmeans,,0,0.054572,0.028051,0.044885,0.069589,0.034639,0.026861,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,kmeans,,0,0.000000,0.000000,0.000000,0.000000,0.559189,0.793426,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,kmeans,,0,0.969764,0.941303,0.988312,0.951900,0.978760,0.080792,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,kmeans,,0,0.010123,0.005087,0.020126,0.006762,0.220466,0.565839,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,kmeans,,0,0.986241,0.972856,0.985382,0.987102,0.989410,0.356223,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,kmeans,,0,0.933533,0.875351,0.879208,0.995014,0.927459,0.087097,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,kmeans,,0,0.965928,0.934101,0.951976,0.980295,0.960800,0.986623,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,kmeans,,0,0.019354,0.009772,0.018811,0.019929,0.183263,0.866585,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,kmeans,,0,0.190357,0.105191,0.241357,0.157151,0.530595,0.748352,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,kmeans,,0,0.968028,0.938037,0.993422,0.943900,0.977775,0.988358,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,kmeans,,0,0.435936,0.278720,0.379695,0.511736,0.513643,0.008577,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,kmeans,,0,0.976207,0.953520,0.978049,0.974373,0.982034,0.923592,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,kmeans,,0,0.349377,0.211664,1.000000,0.211664,0.715561,0.435902,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,kmeans,,0,0.073843,0.038337,0.098927,0.058907,0.040948,0.014560,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,kmeans,,0,0.605328,0.434029,0.942024,0.445941,0.791794,0.554591,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,kmeans,,0,0.250659,0.143288,0.291082,0.220094,0.156401,0.983343,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,kmeans,,0,0.409543,0.257500,0.405362,0.413810,0.572991,0.993255,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,kmeans,,0,0.530539,0.361043,0.994066,0.361823,0.732760,0.830594,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,kmeans,,0,0.988061,0.976403,0.990464,0.985669,0.991392,0.997659,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,kmeans,,0,0.000000,0.000000,0.000000,0.000000,0.333817,0.041230,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,kmeans,,0,0.027408,0.013894,0.021678,0.037255,0.018421,0.016593,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,kmeans,,0,0.419606,0.265507,1.000000,0.265507,0.537492,0.071332,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,kmeans,,0,0.758211,0.610580,0.996271,0.611978,0.858111,0.998493,0.166976,medium
4c1d94f0f4e2f53d1a30915aeeba92ea,ai_boundary,kmeans,,0,0.027621,0.014004,0.026295,0.029088,0.057800,0.044848,0.062451,small
f638696d70e4771514d15aeb405835a3,ai_boundary,kmeans,,0,0.524705,0.355661,0.868444,0.375914,0.710819,0.988971,0.086911,small
f2521b3e32410dd25c8f7d4f9fd4a061,ai_boundary,kmeans,,0,0.000000,0.000000,0.000000,0.000000,0.230499,0.205137,0.059279,small
772d2355b046fd800c5f408ce3ccbc5a,ai_boundary,kmeans,,0,0.208349,0.116289,0.940519,0.117150,0.651012,0.967287,0.056991,small
6fb8504ea48ca3c60fa74b2225b5c267,ai_boundary,kmeans,,0,0.430437,0.274240,0.926610,0.280329,0.737064,0.687420,0.121132,small
